Component ID	Find in Application	Component Name	Classe	
NbMainWindow.Tool_Windows 	Menu Windows -> Tool Windows	Tool Windows	MenuItem	Menu Windows -> Tool Windows
Generic_Formats	Menu File -> Import -> Generic Formats 	Generic Formats	MenuItem	Menu File -> Import -> Generic Formats 
Optical_Sensors	Menu File -> Import -> Optical Sensors	Optical Sensors	MenuItem	Menu File -> Import -> Optical Sensors
SAR_Sensors	Menu File -> Import -> SAR Sensors	SAR Sensors	MenuItem	Menu File -> Import -> SAR Sensors
NbMainWindow.Geometric_Operations	Menu -> Processing -> Geometric Operations	Geometric Operations	MenuItem	Menu -> Processing -> Geometric Operations
NbMainWindow.Image_Analysis	Menu -> Processing -> Image Analysis	Image Analysis	MenuItem	Menu -> Processing -> Image Analysis
NbMainWindow.Spectral_Tools	Menu -> Processing -> Spectral Tools	Spectral Tools	MenuItem	Menu -> Processing -> Spectral Tools
NbMainWindow.Thematic_Land_Processing	Menu -> Processing -> Thematic Land Processing	Thematic Land Processing	MenuItem	Menu -> Processing -> Thematic Land Processing
NbMainWindow.Tab_Displayer		Tab Displayer	org.netbeans.swing.tabcontrol.TabDisplayer	
NbMainWindow.Content_displayer		Content displayer	Panel	
"NbMainWindow.<html><b>IDE_Log_</b>_nbsp;</html>"		"<html><b>IDE Log </b>&nbsp;</html>"	org.netbeans.core.output2.OutputTab	
NbMainWindow.Web_Browser		Web Browser	org.netbeans.core.HtmlBrowserComponent	
NbMainWindow.Product_Explorer3		Product Explorer	org.esa.snap.gui.windows.ProductExplorerTopComponent	
